site,plot_id,plot,split_plot,sub_plot,sample_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,pm_factor_level,pm_n_rate,Achillea millefolium,Agrimonia eupatoria,Agrostis capillaris,Ajuga reptans,Alopecurus pratensis,Anthoxanthum odoratum,Anthriscus sylvestris,Arrhenatherum elatius,Bellis perennis,Briza media,Bromus hordeaceus,Cardamine pratensis,Carex caryophyllea,Carex flacca,Centaurea nigra,Cerastium fontanum,Conopodium majus,Crepis capillaris,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elytrigia repens,Festuca pratensis,Festuca rubra,Filipendula ulmaria,Fritillaria meleagris,Galium verum,Helictotrichon pubescens,Heracleum sphondylium,Holcus lanatus,Hypochoeris radicata,Knautia arvensis,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Linum catharticum,Lolium perenne,Lotus corniculatus,Luzula campestris,Ononis repens,Ophioglossum vulgatum,Pilosella officinarum,Pimpinella saxifraga,Plantago lanceolata,Poa pratensis,Poa trivialis,Potentilla reptans,Potentilla sterilis,Primula veris,Prunella vulgaris,Ranunculus acris,Ranunculus auricomus,Ranunculus bulbosus,Ranunculus ficaria,Rumex acetosa,Sanguisorba minor,Senecio jacobaea,Stachys officinalis,Stellaria graminea,Stellaria media,Taraxacum officinale,Tragopogon pratensis,Trifolium pratense,Trifolium repens,Trisetum flavescens,Veronica chamaedrys,Vicia cracca,Vicia sativa,note_id
Rothamsted,13c,13,*,c,1992,FYM/FM,0,0,0,0,0,0,0,0,0,0,0,0,c,0.000,FYM,0,FM,0,0,0,4.130,0.000,14.220,0.290,0.770,1.220,0.000,22.060,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.110,0.370,0.000,0.000,2.390,0.000,0.000,0.000,5.270,0.000,0.000,0.000,0.070,0.000,5.930,0.000,0.000,2.840,0.000,0.000,0.000,0.040,0.000,0.410,0.000,0.000,0.000,0.000,27.920,0.480,0.260,0.000,0.000,0.000,0.000,8.140,0.000,0.000,0.000,1.180,0.000,0.000,0.000,0.000,0.000,1.330,0.070,0.480,0.000,0.000,0.000,0.000,0.000,5
Rothamsted,13d,13,*,d,1992,FYM/FM,0,0,0,0,0,0,0,0,0,0,0,0,d,0.000,FYM,0,FM,0,0,0,14.640,0.000,38.000,0.000,0.590,2.450,0.000,1.830,0.000,0.000,0.000,0.000,0.000,0.000,3.160,0.150,1.150,0.000,0.000,1.920,0.000,0.000,0.000,2.570,0.000,0.000,0.000,0.120,0.000,7.120,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,14.910,0.920,0.440,0.000,0.000,0.000,0.000,6.670,0.000,0.000,0.000,1.980,0.000,0.000,0.000,0.000,0.000,1.030,0.000,0.180,0.000,0.000,0.000,0.000,0.000,5
Rothamsted,14-1a,14,1.000,a,1992,(N*2)PKNaMg,(N*2),0,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,1.030,0.000,0.000,0.000,1.580,0.000,0.720,21.360,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.660,0.000,0.000,0.000,7.670,0.000,0.000,0.000,0.440,8.650,1.060,0.000,0.000,15.830,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,2.760,0.750,0.490,0.000,0.000,0.000,0.000,17.360,0.000,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.000,1.760,0.000,15.010,0.000,0.000,0.000,0.000,0.000,"4,9"
Rothamsted,14-1b,14,1.000,b,1992,(N*2)PKNaMg,(N*2),0,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,0.030,0.000,0.220,0.000,2.260,0.000,3.630,28.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.160,0.000,0.000,1.090,0.000,0.000,0.000,12.910,0.000,0.000,0.000,0.030,13.250,5.800,0.000,0.000,0.000,0.000,0.000,0.000,0.280,0.000,0.000,0.000,0.000,0.000,0.000,3.290,6.170,0.370,0.000,0.000,0.000,0.000,9.220,0.000,0.000,0.030,2.510,0.000,0.000,0.000,0.000,0.000,4.340,0.030,6.300,0.000,0.000,0.000,0.000,0.000,"4,9"
Rothamsted,14-1c,14,1.000,c,1992,(N*2)PKNaMg,(N*2),0,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,0.000,0.000,0.520,0.000,1.430,0.000,0.240,28.680,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.860,0.000,0.000,0.000,4.830,0.000,0.000,0.000,0.000,17.160,0.830,0.000,0.000,3.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.730,2.140,0.240,0.000,0.000,0.000,0.000,20.010,0.000,0.000,0.000,0.830,0.000,0.000,0.000,0.000,0.000,10.300,0.000,0.400,0.000,0.000,0.000,0.000,0.000,"4,9"
Rothamsted,14-1d,14,1.000,d,1992,(N*2)PKNaMg,(N*2),0,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1.120,0.110,0.750,16.920,0.000,0.000,0.560,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,1.900,0.000,0.000,0.000,4.360,0.000,0.000,0.000,0.000,30.100,2.980,0.000,0.000,9.430,0.000,0.000,0.000,0.410,0.000,0.000,0.000,0.000,0.000,0.000,7.080,2.120,2.240,0.000,0.000,0.000,0.000,11.810,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,7.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"4,9"
Rothamsted,14-2a,14,2.000,a,1992,N*2+PKNaMg,N*2,96,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10.350,0.000,17.040,57.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.060,0.000,0.000,0.000,2.860,0.000,0.000,0.000,0.060,1.910,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.420,0.220,0.000,0.000,0.000,0.000,2.570,0.000,0.000,0.000,0.720,0.000,0.000,0.000,0.000,0.000,3.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
Rothamsted,14-2b,14,2.000,b,1992,N*2+PKNaMg,N*2,96,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,8.320,0.000,13.620,53.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,3.390,0.000,0.000,0.000,1.780,0.000,0.000,0.000,0.000,8.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.440,0.180,0.000,0.000,0.000,0.000,3.260,0.000,0.000,0.000,1.100,0.000,0.000,0.000,0.000,0.000,2.260,0.230,0.000,0.000,0.000,0.000,0.000,0.000,4
Rothamsted,14-2c,14,2.000,c,1992,N*2+PKNaMg,N*2,96,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,0.100,0.000,0.000,0.000,5.970,0.000,11.650,59.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.290,0.000,0.000,1.280,0.000,0.000,0.000,0.220,0.000,0.000,0.000,0.020,6.550,0.000,0.000,0.000,2.650,0.000,0.000,0.000,0.290,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.870,0.390,0.000,0.000,0.000,3.200,0.000,0.000,0.000,1.400,0.000,0.000,0.000,0.000,0.000,4.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
Rothamsted,14-2d,14,2.000,d,1992,N*2+PKNaMg,N*2,96,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,0.090,0.000,0.310,0.000,14.620,0.000,4.300,59.150,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,1.400,0.000,0.000,2.370,0.000,0.000,0.000,0.950,0.000,0.000,0.000,0.000,1.610,0.000,0.000,0.000,1.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,2.660,0.070,0.000,0.000,0.000,0.000,3.130,0.000,0.000,0.000,1.900,0.000,0.000,0.000,0.000,0.000,5.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
Rothamsted,15a,15,*,a,1992,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,1.630,0.000,0.000,0.000,0.000,0.120,0.710,17.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.570,0.000,0.000,2.980,0.000,0.000,0.000,15.680,0.000,0.000,0.000,0.770,11.140,0.030,0.000,0.000,9.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.340,0.460,0.400,0.000,0.000,0.000,0.000,5.560,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.550,0.610,18.110,0.000,0.370,0.000,0.000,0.000,*
Rothamsted,15b,15,*,b,1992,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,2.180,0.000,0.390,0.000,0.630,0.610,0.790,12.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.160,0.000,0.000,1.380,0.000,0.000,0.000,4.400,0.000,0.000,0.000,0.840,12.970,0.090,0.000,0.000,10.250,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.160,12.200,0.390,0.180,0.000,0.000,0.000,0.000,5.300,0.000,0.000,0.000,0.290,0.000,0.000,0.000,0.000,0.000,1.360,0.110,31.970,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,15c,15,*,c,1992,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,2.130,0.000,13.530,0.000,0.410,3.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.690,0.000,2.920,0.050,0.000,0.340,0.000,0.000,0.000,12.400,0.000,0.000,0.000,0.690,0.000,0.000,0.000,0.000,2.080,0.000,0.000,0.000,0.000,2.660,0.140,0.000,0.000,0.000,0.000,3.450,0.000,0.140,0.000,0.000,0.000,0.000,0.170,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.140,0.000,50.740,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,15d,15,*,d,1992,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,2.530,0.000,24.690,0.000,1.870,2.070,0.000,1.120,0.000,0.000,0.000,0.000,0.000,0.000,11.310,0.000,1.870,0.030,0.000,0.890,0.000,0.000,0.000,12.660,0.000,0.000,0.000,0.300,0.070,0.070,0.000,0.000,3.220,0.000,0.000,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,9.370,0.100,0.000,0.000,0.000,0.000,0.000,0.590,0.000,0.000,0.000,1.250,0.000,0.000,0.000,0.000,0.000,0.330,0.000,25.440,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,16a,16,*,a,1992,N*1+PKNaMg,N*1,48,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.150,0.000,3.480,0.000,1.590,0.080,0.590,28.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.310,0.000,0.000,3.020,0.000,0.000,0.000,17.030,0.000,0.000,0.000,0.460,10.680,0.000,0.000,0.000,6.810,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,11.550,0.000,1.640,0.000,0.000,0.000,0.000,5.400,0.050,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,1.590,0.000,5.630,0.000,0.050,0.000,0.000,0.000,*
Rothamsted,16b,16,*,b,1992,N*1+PKNaMg,N*1,48,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,0.000,0.000,12.640,0.000,5.040,1.270,0.840,36.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.630,0.000,0.000,4.740,0.000,0.000,0.000,5.070,0.000,0.000,0.000,0.120,17.170,0.330,0.000,0.000,0.000,0.000,0.000,0.000,1.060,0.000,0.030,0.000,0.000,0.000,0.000,5.430,0.000,1.480,0.000,0.000,0.000,0.000,1.930,0.000,0.000,0.000,1.030,0.000,0.000,0.000,0.000,0.000,2.900,0.000,0.060,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,16c,16,*,c,1992,N*1+PKNaMg,N*1,48,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,1.350,0.000,26.340,0.000,2.530,0.520,0.000,26.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.910,0.000,0.000,1.010,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.120,4.260,0.030,0.000,0.000,18.360,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,11.460,0.000,0.170,0.000,0.000,0.000,0.000,2.270,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.030,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,16d,16,*,d,1992,N*1+PKNaMg,N*1,48,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,6.110,0.000,24.180,0.000,3.390,0.690,0.000,23.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.370,0.160,0.000,2.200,0.000,0.000,0.000,3.480,0.000,0.000,0.000,0.310,0.000,0.280,0.000,0.000,16.590,0.000,0.000,0.000,0.470,0.000,0.000,0.000,0.000,0.000,0.000,8.750,0.000,0.060,0.000,0.000,0.000,0.000,1.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.880,0.000,0.560,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,17a,17,*,a,1992,N*1,N*1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,2.600,0.000,21.440,0.000,0.000,2.510,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.000,0.000,2.680,0.000,0.000,0.000,12.730,0.000,0.000,0.000,0.420,4.100,0.000,0.000,0.000,0.000,0.000,15.830,0.000,0.250,0.080,0.000,0.000,0.000,0.000,0.000,32.750,1.260,0.000,0.000,0.000,0.000,0.000,0.920,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.340,0.840,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,17b,17,*,b,1992,N*1,N*1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,1.950,0.000,15.660,0.000,1.450,2.500,0.000,0.000,0.000,0.200,0.000,0.000,0.100,0.000,3.950,0.150,1.500,0.000,0.000,1.750,0.000,0.000,0.000,2.100,0.000,0.000,0.000,0.100,2.750,2.450,0.000,0.000,0.000,0.000,25.910,0.000,0.500,0.000,0.050,0.000,0.050,0.000,0.000,33.620,0.000,2.100,0.000,0.000,0.000,0.000,0.900,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,17c,17,*,c,1992,N*1,N*1,48,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,4.040,0.000,24.710,0.090,1.270,1.760,0.000,0.000,0.000,0.090,0.000,0.000,0.880,0.000,1.230,0.040,0.480,0.090,0.000,3.340,0.000,0.000,0.000,14.270,0.000,0.000,0.000,1.230,2.110,1.670,0.000,0.000,0.000,0.000,17.160,0.000,0.260,0.000,0.180,0.000,0.000,0.000,0.130,21.160,0.000,0.220,0.000,0.000,0.000,0.000,3.250,0.000,0.000,0.000,0.040,0.040,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,17d,17,*,d,1992,N*1,N*1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.230,0.000,19.780,0.190,1.200,1.660,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.350,7.970,0.350,0.080,0.080,0.000,11.730,0.000,0.000,0.000,14.940,0.000,0.000,0.000,1.320,0.190,3.440,0.000,0.000,0.000,0.000,6.850,0.000,0.120,0.000,0.040,0.000,0.000,0.000,0.000,23.030,0.000,0.040,0.000,0.000,0.000,0.000,4.450,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,1.430,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,18a    ,18,*,a,1992,N2+KNaMg,N2,96,0,0,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.000,0.000,10.950,0.000,1.840,0.750,0.000,30.890,0.000,0.000,0.000,0.000,0.000,0.000,6.170,0.000,0.120,1.670,0.000,4.840,0.000,0.000,0.000,12.680,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,3.290,0.000,1.380,0.000,0.000,0.000,0.000,0.000,0.000,12.100,0.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,6.280,5.420,0.120,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,18b    ,18,*,b,1992,N2+KNaMg,N2,96,0,0,K,225,Mg,10,Na,15,0,0,b  ,0.000,0,0,0,0,0,0,0.280,0.000,52.450,0.000,0.970,5.680,0.000,2.500,0.000,0.000,0.000,0.000,0.000,0.000,6.930,0.000,0.050,0.000,0.000,5.310,0.000,0.000,0.000,13.910,0.000,0.000,0.000,0.000,6.330,0.000,0.000,0.000,0.000,0.000,1.200,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.100,0.460,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,18c    ,18,*,c,1992,N2+KNaMg,N2,96,0,0,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,0.000,0.000,68.810,0.000,0.000,2.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.570,0.000,0.000,0.000,2.090,0.000,0.000,0.000,17.680,0.000,0.000,0.000,0.060,0.000,6.840,0.000,0.000,0.000,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,18d    ,18,*,d,1992,N2+KNaMg,N2,96,0,0,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,76.520,0.000,0.000,13.020,0.000,4.290,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,18-2   ,18,2.000,        ,1992,N2+KNaMg,N2,96,0,0,K,225,Mg,10,Na,15,0,0,s,0.000,0,0,0,0,0,0,0.450,0.000,19.510,0.000,0.370,1.590,0.000,16.180,0.000,0.000,0.000,0.000,0.000,0.000,31.340,0.000,0.000,0.080,0.000,3.900,0.000,0.000,0.000,5.160,0.000,0.000,0.080,0.120,0.730,1.180,0.000,0.000,0.000,0.000,0.000,0.000,0.770,0.000,0.000,0.000,0.000,0.000,0.000,10.890,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.460,4.070,0.000,0.000,0.000,0.000,0.000,0.000,6
Rothamsted,19-1   ,19,1.000,        ,1992,FYM,0,0,0,0,0,0,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,1.720,0.000,0.520,0.000,0.680,1.980,0.000,26.060,0.000,0.000,0.000,0.000,0.000,0.000,6.370,0.000,0.160,0.000,0.000,0.990,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,2.920,7.100,0.000,0.000,4.440,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,19.790,0.210,0.160,0.000,0.000,0.000,0.000,11.280,0.000,0.000,0.000,0.420,0.000,0.000,0.000,0.000,0.000,0.990,0.050,12.900,0.000,1.040,0.000,0.000,0.000,6
Rothamsted,19-2   ,19,2.000,        ,1992,FYM,0,0,0,0,0,0,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,2.760,0.000,11.440,0.000,2.460,3.190,0.000,43.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.300,0.030,0.000,1.460,0.000,0.000,0.000,2.430,0.000,0.000,0.000,0.000,0.070,2.690,0.000,0.000,2.500,0.000,0.000,0.000,1.730,1.400,0.000,0.000,0.000,0.000,0.000,7.090,0.570,0.130,0.000,0.000,0.000,0.000,6.450,0.000,0.000,0.000,0.570,0.000,0.000,0.000,0.000,0.000,0.100,0.030,7.520,0.070,0.000,0.000,0.200,0.000,6
Rothamsted,19-3   ,19,3.000,        ,1992,FYM,0,0,0,0,0,0,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,0.510,0.000,1.310,0.000,3.480,1.280,0.000,41.370,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.210,0.510,0.000,0.000,1.700,0.000,0.000,0.330,0.030,0.000,0.000,0.000,0.000,6.930,4.700,0.000,0.000,0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.220,0.540,0.770,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,1.310,0.000,0.000,0.000,0.000,0.000,2.830,0.000,0.650,0.030,0.000,0.000,2.200,0.000,6
Rothamsted,20-1   ,20,1.000,        ,1992,FYM/N*PK,N* ,30,P*,15,K*,45,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,0.570,0.000,4.690,0.000,0.810,6.570,0.000,33.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.630,0.000,0.000,0.000,4.270,0.000,0.000,0.000,7.140,0.000,0.000,0.000,0.000,3.880,13.230,0.000,0.000,5.080,0.000,0.000,0.000,0.960,0.000,0.000,0.000,0.000,0.000,0.000,8.360,1.370,1.370,0.000,0.000,0.000,0.000,2.600,0.000,0.000,0.000,2.120,0.000,0.000,0.000,0.000,0.000,2.240,0.000,0.720,0.000,0.000,0.000,0.000,0.000,7
Rothamsted,20-2   ,20,2.000,        ,1992,FYM/N*PK,N* ,30,P*,15,K*,45,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,0.570,0.000,0.000,0.000,9.660,0.000,0.000,59.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.510,0.000,0.000,1.350,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.030,1.530,4.870,0.000,0.000,0.060,0.000,0.030,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,1.020,0.120,2.090,0.000,0.000,0.000,0.000,10.830,0.000,0.000,0.000,1.320,0.000,0.000,0.000,0.000,0.000,3.110,0.000,3.200,0.000,0.000,0.000,0.000,0.000,7
Rothamsted,20-3   ,20,3.000,        ,1992,FYM/N*PK,N* ,30,P*,15,K*,45,0,0,0,0,0,0,s,0.000,FYM,0,0,0,0,0,0.310,0.000,1.120,0.000,9.810,0.470,0.100,49.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.160,0.000,0.000,1.480,0.000,0.000,0.000,0.960,0.000,0.000,0.000,0.000,0.440,10.560,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.940,0.230,1.430,0.000,0.000,0.000,0.000,2.020,0.000,0.000,0.000,1.120,0.000,0.000,0.000,0.000,0.000,6.720,0.000,0.290,0.050,2.470,0.000,0.000,0.000,7
Rothamsted,1a,1,*,a,1993,N1,N1,48,0,0,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.750,0.000,7.050,0.000,1.500,8.290,0.000,4.950,0.000,0.490,0.000,0.000,0.000,0.000,7.420,0.190,0.260,0.000,0.000,8.320,0.000,0.000,0.000,24.600,0.000,0.000,0.000,7.990,0.000,2.740,0.000,0.000,0.070,0.000,10.350,0.000,0.000,0.040,0.110,0.000,0.000,0.000,0.300,10.390,0.220,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000,3.220,0.040,0.000,0.000,0.000,0.000,0.110,0.000,0.520,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,1b,1,*,b,1993,N1,N1,48,0,0,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.740,0.000,4.330,0.000,4.070,4.770,0.000,0.000,0.000,0.220,0.000,0.000,0.000,0.000,9.360,0.000,1.150,0.000,0.000,9.210,0.000,0.000,0.000,27.410,0.000,0.000,0.000,2.330,0.000,10.650,0.000,0.260,0.180,0.000,4.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.050,0.000,0.000,0.000,0.000,0.000,0.000,1.150,0.000,0.000,0.000,0.300,0.070,0.000,0.000,0.000,0.000,0.440,0.000,0.070,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,1c,1,*,c,1993,N1,N1,48,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,0.070,0.000,35.520,0.000,0.000,9.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.550,0.070,0.330,0.000,0.000,0.000,0.000,0.000,0.000,39.790,0.000,0.000,0.000,1.380,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.390,1.710,0.000,0.000,0.000,0.330,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,3.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,1d,1,*,d,1993,N1,N1,48,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,15.190,0.000,0.000,81.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
