harvest_year,strip,old_section,section,plot_(strip_and_section),fertilizer_code,crop,chalk_date,chalk_amount
1962.000,8.000,III,5.000,08/5,N3PKNaMg,winter wheat,1961-09-07 00:00:00,1.030
1962.000,9.000,III,5.000,09/5,N1*PKNaMg,winter wheat,*,0.000
1962.000,10.000,III,5.000,10/5,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,11.000,III,5.000,11/5,N2P,winter wheat,1961-09-07 00:00:00,0.690
1962.000,12.000,III,5.000,12/5,N2PNa*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,13.000,III,5.000,13/5,N2PK,winter wheat,1961-09-07 00:00:00,0.690
1962.000,14.000,III,5.000,14/5,N2PMg*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,15.000,III,5.000,15/5,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,16.000,III,5.000,16/5,N2*PKNaMg,winter wheat,*,0.000
1962.000,17.000,III,5.000,17/5,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,18.000,III,5.000,18/5,PKNaMg,winter wheat,*,0.000
1962.000,19.000,III,5.000,19/5,C,winter wheat,1961-09-07 00:00:00,0.340
1962.000,21.000,III,5.000,21/5,FYM,winter wheat,*,0.000
1962.000,22.000,III,5.000,22/5,FYM,winter wheat,*,0.000
1962.000,3.000,IV,6.000,03/6,nil,winter wheat,*,0.000
1962.000,5.000,IV,6.000,05/6,PKNaMg,winter wheat,*,0.000
1962.000,6.000,IV,6.000,06/6,N1PKNaMg,winter wheat,1961-09-07 00:00:00,0.340
1962.000,7.000,IV,6.000,07/6,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,8.000,IV,6.000,08/6,N3PKNaMg,winter wheat,1961-09-07 00:00:00,1.030
1962.000,9.000,IV,6.000,09/6,N1*PKNaMg,winter wheat,*,0.000
1962.000,10.000,IV,6.000,10/6,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,11.000,IV,6.000,11/6,N2P,winter wheat,1961-09-07 00:00:00,0.690
1962.000,12.000,IV,6.000,12/6,N2PNa*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,13.000,IV,6.000,13/6,N2PK,winter wheat,1961-09-07 00:00:00,0.690
1962.000,14.000,IV,6.000,14/6,N2PMg*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,15.000,IV,6.000,15/6,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,16.000,IV,6.000,16/6,N2*PKNaMg,winter wheat,*,0.000
1962.000,17.000,IV,6.000,17/6,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,18.000,IV,6.000,18/6,PKNaMg,winter wheat,*,0.000
1962.000,19.000,IV,6.000,19/6,C,winter wheat,1961-09-07 00:00:00,0.340
1962.000,21.000,IV,6.000,21/6,FYM,winter wheat,*,0.000
1962.000,22.000,IV,6.000,22/6,FYM,winter wheat,*,0.000
1962.000,3.000,IV,7.000,03/7,nil,winter wheat,*,0.000
1962.000,5.000,IV,7.000,05/7,PKNaMg,winter wheat,*,0.000
1962.000,6.000,IV,7.000,06/7,N1PKNaMg,winter wheat,1961-09-07 00:00:00,0.340
1962.000,7.000,IV,7.000,07/7,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,8.000,IV,7.000,08/7,N3PKNaMg,winter wheat,1961-09-07 00:00:00,1.030
1962.000,9.000,IV,7.000,09/7,N1*PKNaMg,winter wheat,*,0.000
1962.000,10.000,IV,7.000,10/7,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,11.000,IV,7.000,11/7,N2P,winter wheat,1961-09-07 00:00:00,0.690
1962.000,12.000,IV,7.000,12/7,N2PNa*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,13.000,IV,7.000,13/7,N2PK,winter wheat,1961-09-07 00:00:00,0.690
1962.000,14.000,IV,7.000,14/7,N2PMg*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,15.000,IV,7.000,15/7,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,16.000,IV,7.000,16/7,N2*PKNaMg,winter wheat,*,0.000
1962.000,17.000,IV,7.000,17/7,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,18.000,IV,7.000,18/7,PKNaMg,winter wheat,*,0.000
1962.000,19.000,IV,7.000,19/7,C,winter wheat,1961-09-07 00:00:00,0.340
1962.000,21.000,IV,7.000,21/7,FYM,winter wheat,*,0.000
1962.000,22.000,IV,7.000,22/7,FYM,winter wheat,*,0.000
1962.000,3.000,VA,8.000,03/8,nil,winter wheat,*,0.000
1962.000,5.000,VA,8.000,05/8,PKNaMg,winter wheat,*,0.000
1962.000,6.000,VA,8.000,06/8,N1PKNaMg,winter wheat,1961-09-07 00:00:00,0.340
1962.000,7.000,VA,8.000,07/8,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,8.000,VA,8.000,08/8,N3PKNaMg,winter wheat,1961-09-07 00:00:00,1.030
1962.000,9.000,VA,8.000,09/8,N1*PKNaMg,winter wheat,*,0.000
1962.000,10.000,VA,8.000,10/8,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,11.000,VA,8.000,11/8,N2P,winter wheat,1961-09-07 00:00:00,0.690
1962.000,12.000,VA,8.000,12/8,N2PNa*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,13.000,VA,8.000,13/8,N2PK,winter wheat,1961-09-07 00:00:00,0.690
1962.000,14.000,VA,8.000,14/8,N2PMg*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,15.000,VA,8.000,15/8,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,16.000,VA,8.000,16/8,N2*PKNaMg,winter wheat,*,0.000
1962.000,17.000,VA,8.000,17/8,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,18.000,VA,8.000,18/8,PKNaMg,winter wheat,*,0.000
1962.000,19.000,VA,8.000,19/8,C,winter wheat,1961-09-07 00:00:00,0.340
1962.000,21.000,VA,8.000,21/8,FYM,winter wheat,*,0.000
1962.000,22.000,VA,8.000,22/8,FYM,winter wheat,*,0.000
1962.000,3.000,VB,9.000,03/9,nil,winter wheat,*,0.000
1962.000,5.000,VB,9.000,05/9,PKNaMg,winter wheat,*,0.000
1962.000,6.000,VB,9.000,06/9,N1PKNaMg,winter wheat,1961-09-07 00:00:00,0.340
1962.000,7.000,VB,9.000,07/9,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,8.000,VB,9.000,08/9,N3PKNaMg,winter wheat,1961-09-07 00:00:00,1.030
1962.000,9.000,VB,9.000,09/9,N1*PKNaMg,winter wheat,*,0.000
1962.000,10.000,VB,9.000,10/9,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,11.000,VB,9.000,11/9,N2P,winter wheat,1961-09-07 00:00:00,0.690
1962.000,12.000,VB,9.000,12/9,N2PNa*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,13.000,VB,9.000,13/9,N2PK,winter wheat,1961-09-07 00:00:00,0.690
1962.000,14.000,VB,9.000,14/9,N2PMg*,winter wheat,1961-09-07 00:00:00,0.690
1962.000,15.000,VB,9.000,15/9,N2PKNaMg,winter wheat,1961-09-07 00:00:00,0.690
1962.000,16.000,VB,9.000,16/9,N2*PKNaMg,winter wheat,*,0.000
1962.000,17.000,VB,9.000,17/9,N2,winter wheat,1961-09-07 00:00:00,0.690
1962.000,18.000,VB,9.000,18/9,PKNaMg,winter wheat,*,0.000
1962.000,19.000,VB,9.000,19/9,C,winter wheat,1961-09-07 00:00:00,0.340
1962.000,21.000,VB,9.000,21/9,FYM,winter wheat,*,0.000
1962.000,22.000,VB,9.000,22/9,FYM,winter wheat,*,0.000
1963.000,3.000,IA,0.000,03/0,nil,winter wheat,*,0.000
1963.000,5.000,IA,0.000,05/0,PKNaMg,winter wheat,*,0.000
1963.000,6.000,IA,0.000,06/0,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,IA,0.000,07/0,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,IA,0.000,08/0,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,IA,0.000,09/0,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,IA,0.000,10/0,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,IA,0.000,11/0,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,IA,0.000,12/0,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,IA,0.000,13/0,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,IA,0.000,14/0,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,IA,0.000,15/0,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,IA,0.000,16/0,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,IA,0.000,17/0,PKNaMg,winter wheat,*,0.000
1963.000,18.000,IA,0.000,18/0,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,IA,0.000,19/0,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,20.000,IA,0.000,20/0,N2KNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,21.000,IA,0.000,21/0,FYM,winter wheat,*,0.000
1963.000,22.000,IA,0.000,22/0,FYM,winter wheat,*,0.000
1963.000,3.000,IB,1.000,03/1,nil,winter wheat,*,0.000
1963.000,5.000,IB,1.000,05/1,PKNaMg,winter wheat,*,0.000
1963.000,6.000,IB,1.000,06/1,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,IB,1.000,07/1,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,IB,1.000,08/1,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,IB,1.000,09/1,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,IB,1.000,10/1,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,IB,1.000,11/1,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,IB,1.000,12/1,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,IB,1.000,13/1,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,IB,1.000,14/1,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,IB,1.000,15/1,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,IB,1.000,16/1,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,IB,1.000,17/1,PKNaMg,winter wheat,*,0.000
1963.000,18.000,IB,1.000,18/1,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,IB,1.000,19/1,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,20.000,IB,1.000,20/1,N2KNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,21.000,IB,1.000,21/1,FYM,winter wheat,*,0.000
1963.000,22.000,IB,1.000,22/1,FYM,winter wheat,*,0.000
1963.000,3.000,II,2.000,03/2,nil,winter wheat,*,0.000
1963.000,5.000,II,2.000,05/2,PKNaMg,winter wheat,*,0.000
1963.000,6.000,II,2.000,06/2,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,II,2.000,07/2,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,II,2.000,08/2,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,II,2.000,09/2,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,II,2.000,10/2,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,II,2.000,11/2,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,II,2.000,12/2,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,II,2.000,13/2,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,II,2.000,14/2,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,II,2.000,15/2,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,II,2.000,16/2,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,II,2.000,17/2,PKNaMg,winter wheat,*,0.000
1963.000,18.000,II,2.000,18/2,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,II,2.000,19/2,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,II,2.000,21/2,FYM,winter wheat,*,0.000
1963.000,22.000,II,2.000,22/2,FYM,winter wheat,*,0.000
1963.000,3.000,II,3.000,03/3,nil,winter wheat,*,0.000
1963.000,5.000,II,3.000,05/3,PKNaMg,winter wheat,*,0.000
1963.000,6.000,II,3.000,06/3,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,II,3.000,07/3,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,II,3.000,08/3,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,II,3.000,09/3,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,II,3.000,10/3,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,II,3.000,11/3,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,II,3.000,12/3,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,II,3.000,13/3,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,II,3.000,14/3,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,II,3.000,15/3,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,II,3.000,16/3,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,II,3.000,17/3,PKNaMg,winter wheat,*,0.000
1963.000,18.000,II,3.000,18/3,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,II,3.000,19/3,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,II,3.000,21/3,FYM,winter wheat,*,0.000
1963.000,22.000,II,3.000,22/3,FYM,winter wheat,*,0.000
1963.000,3.000,III,4.000,03/4,nil,winter wheat,*,0.000
1963.000,5.000,III,4.000,05/4,PKNaMg,winter wheat,*,0.000
1963.000,6.000,III,4.000,06/4,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,III,4.000,07/4,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,III,4.000,08/4,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,III,4.000,09/4,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,III,4.000,10/4,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,III,4.000,11/4,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,III,4.000,12/4,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,III,4.000,13/4,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,III,4.000,14/4,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,III,4.000,15/4,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,III,4.000,16/4,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,III,4.000,17/4,PKNaMg,winter wheat,*,0.000
1963.000,18.000,III,4.000,18/4,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,III,4.000,19/4,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,III,4.000,21/4,FYM,winter wheat,*,0.000
1963.000,22.000,III,4.000,22/4,FYM,winter wheat,*,0.000
1963.000,3.000,III,5.000,03/5,nil,winter wheat,*,0.000
1963.000,5.000,III,5.000,05/5,PKNaMg,winter wheat,*,0.000
1963.000,6.000,III,5.000,06/5,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,III,5.000,07/5,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,III,5.000,08/5,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,III,5.000,09/5,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,III,5.000,10/5,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,III,5.000,11/5,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,III,5.000,12/5,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,III,5.000,13/5,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,III,5.000,14/5,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,III,5.000,15/5,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,III,5.000,16/5,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,III,5.000,17/5,PKNaMg,winter wheat,*,0.000
1963.000,18.000,III,5.000,18/5,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,III,5.000,19/5,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,III,5.000,21/5,FYM,winter wheat,*,0.000
1963.000,22.000,III,5.000,22/5,FYM,winter wheat,*,0.000
1963.000,3.000,IV,6.000,03/6,nil,winter wheat,*,0.000
1963.000,5.000,IV,6.000,05/6,PKNaMg,winter wheat,*,0.000
1963.000,6.000,IV,6.000,06/6,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,IV,6.000,07/6,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,IV,6.000,08/6,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,IV,6.000,09/6,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,IV,6.000,10/6,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,IV,6.000,11/6,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,IV,6.000,12/6,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,IV,6.000,13/6,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,IV,6.000,14/6,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,IV,6.000,15/6,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,IV,6.000,16/6,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,IV,6.000,17/6,PKNaMg,winter wheat,*,0.000
1963.000,18.000,IV,6.000,18/6,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,IV,6.000,19/6,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,IV,6.000,21/6,FYM,winter wheat,*,0.000
1963.000,22.000,IV,6.000,22/6,FYM,winter wheat,*,0.000
1963.000,3.000,IV,7.000,03/7,nil,winter wheat,*,0.000
1963.000,5.000,IV,7.000,05/7,PKNaMg,winter wheat,*,0.000
1963.000,6.000,IV,7.000,06/7,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,IV,7.000,07/7,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,IV,7.000,08/7,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,IV,7.000,09/7,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,IV,7.000,10/7,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,IV,7.000,11/7,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,IV,7.000,12/7,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,IV,7.000,13/7,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,IV,7.000,14/7,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,IV,7.000,15/7,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,IV,7.000,16/7,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,IV,7.000,17/7,PKNaMg,winter wheat,*,0.000
1963.000,18.000,IV,7.000,18/7,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,IV,7.000,19/7,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,IV,7.000,21/7,FYM,winter wheat,*,0.000
1963.000,22.000,IV,7.000,22/7,FYM,winter wheat,*,0.000
1963.000,3.000,VA,8.000,03/8,nil,fallow,*,0.000
1963.000,5.000,VA,8.000,05/8,PKNaMg,fallow,*,0.000
1963.000,6.000,VA,8.000,06/8,N1PKNaMg,fallow,*,0.000
1963.000,7.000,VA,8.000,07/8,N2PKNaMg,fallow,*,0.000
1963.000,8.000,VA,8.000,08/8,N3PKNaMg,fallow,*,0.000
1963.000,9.000,VA,8.000,09/8,N1*PKNaMg,fallow,*,0.000
1963.000,10.000,VA,8.000,10/8,N2,fallow,*,0.000
1963.000,11.000,VA,8.000,11/8,N2P,fallow,*,0.000
1963.000,12.000,VA,8.000,12/8,N2PNa*,fallow,*,0.000
1963.000,13.000,VA,8.000,13/8,N2PK,fallow,*,0.000
1963.000,14.000,VA,8.000,14/8,N2PMg*,fallow,*,0.000
1963.000,15.000,VA,8.000,15/8,N2PKNaMg,fallow,*,0.000
1963.000,16.000,VA,8.000,16/8,N2*PKNaMg,fallow,*,0.000
1963.000,17.000,VA,8.000,17/8,PKNaMg,fallow,*,0.000
1963.000,18.000,VA,8.000,18/8,N2,fallow,*,0.000
1963.000,19.000,VA,8.000,19/8,C,fallow,*,0.000
1963.000,21.000,VA,8.000,21/8,FYM,fallow,*,0.000
1963.000,22.000,VA,8.000,22/8,FYM,fallow,*,0.000
1963.000,3.000,VB,9.000,03/9,nil,winter wheat,*,0.000
1963.000,5.000,VB,9.000,05/9,PKNaMg,winter wheat,*,0.000
1963.000,6.000,VB,9.000,06/9,N1PKNaMg,winter wheat,1962-09-29 00:00:00,0.340
1963.000,7.000,VB,9.000,07/9,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,8.000,VB,9.000,08/9,N3PKNaMg,winter wheat,1962-09-29 00:00:00,1.030
1963.000,9.000,VB,9.000,09/9,N1*PKNaMg,winter wheat,*,0.000
1963.000,10.000,VB,9.000,10/9,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,11.000,VB,9.000,11/9,N2P,winter wheat,1962-09-29 00:00:00,0.690
1963.000,12.000,VB,9.000,12/9,N2PNa*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,13.000,VB,9.000,13/9,N2PK,winter wheat,1962-09-29 00:00:00,0.690
1963.000,14.000,VB,9.000,14/9,N2PMg*,winter wheat,1962-09-29 00:00:00,0.690
1963.000,15.000,VB,9.000,15/9,N2PKNaMg,winter wheat,1962-09-29 00:00:00,0.690
1963.000,16.000,VB,9.000,16/9,N2*PKNaMg,winter wheat,*,0.000
1963.000,17.000,VB,9.000,17/9,PKNaMg,winter wheat,*,0.000
1963.000,18.000,VB,9.000,18/9,N2,winter wheat,1962-09-29 00:00:00,0.690
1963.000,19.000,VB,9.000,19/9,C,winter wheat,1962-09-29 00:00:00,0.340
1963.000,21.000,VB,9.000,21/9,FYM,winter wheat,*,0.000
1963.000,22.000,VB,9.000,22/9,FYM,winter wheat,*,0.000
1964.000,3.000,IA,0.000,03/0,nil,winter wheat,*,0.000
1964.000,5.000,IA,0.000,05/0,PKNaMg,winter wheat,*,0.000
1964.000,6.000,IA,0.000,06/0,N1PKNaMg,winter wheat,23/09/-01/10/1963,0.340
1964.000,7.000,IA,0.000,07/0,N2PKNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,8.000,IA,0.000,08/0,N3PKNaMg,winter wheat,23/09/-01/10/1963,1.030
1964.000,9.000,IA,0.000,09/0,N1*PKNaMg,winter wheat,*,0.000
1964.000,10.000,IA,0.000,10/0,N2,winter wheat,23/09/-01/10/1963,0.690
1964.000,11.000,IA,0.000,11/0,N2P,winter wheat,23/09/-01/10/1963,0.690
1964.000,12.000,IA,0.000,12/0,N2PNa*,winter wheat,23/09/-01/10/1963,0.690
1964.000,13.000,IA,0.000,13/0,N2PK,winter wheat,23/09/-01/10/1963,0.690
1964.000,14.000,IA,0.000,14/0,N2PMg*,winter wheat,23/09/-01/10/1963,0.690
1964.000,15.000,IA,0.000,15/0,N2PKNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,16.000,IA,0.000,16/0,N2*PKNaMg,winter wheat,*,0.000
1964.000,17.000,IA,0.000,17/0,N2,winter wheat,23/09/-01/10/1963,0.690
1964.000,18.000,IA,0.000,18/0,PKNaMg,winter wheat,*,0.000
1964.000,19.000,IA,0.000,19/0,C,winter wheat,23/09/-01/10/1963,0.340
1964.000,20.000,IA,0.000,20/0,N2KNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,21.000,IA,0.000,21/0,FYM,winter wheat,*,0.000
1964.000,22.000,IA,0.000,22/0,FYM,winter wheat,*,0.000
1964.000,3.000,IB,1.000,03/1,nil,winter wheat,*,0.000
1964.000,5.000,IB,1.000,05/1,PKNaMg,winter wheat,*,0.000
1964.000,6.000,IB,1.000,06/1,N1PKNaMg,winter wheat,23/09/-01/10/1963,0.340
1964.000,7.000,IB,1.000,07/1,N2PKNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,8.000,IB,1.000,08/1,N3PKNaMg,winter wheat,23/09/-01/10/1963,1.030
1964.000,9.000,IB,1.000,09/1,N1*PKNaMg,winter wheat,*,0.000
1964.000,10.000,IB,1.000,10/1,N2,winter wheat,23/09/-01/10/1963,0.690
1964.000,11.000,IB,1.000,11/1,N2P,winter wheat,23/09/-01/10/1963,0.690
1964.000,12.000,IB,1.000,12/1,N2PNa*,winter wheat,23/09/-01/10/1963,0.690
1964.000,13.000,IB,1.000,13/1,N2PK,winter wheat,23/09/-01/10/1963,0.690
1964.000,14.000,IB,1.000,14/1,N2PMg*,winter wheat,23/09/-01/10/1963,0.690
1964.000,15.000,IB,1.000,15/1,N2PKNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,16.000,IB,1.000,16/1,N2*PKNaMg,winter wheat,*,0.000
1964.000,17.000,IB,1.000,17/1,N2,winter wheat,23/09/-01/10/1963,0.690
1964.000,18.000,IB,1.000,18/1,PKNaMg,winter wheat,*,0.000
1964.000,19.000,IB,1.000,19/1,C,winter wheat,23/09/-01/10/1963,0.340
1964.000,20.000,IB,1.000,20/1,N2KNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,21.000,IB,1.000,21/1,FYM,winter wheat,*,0.000
1964.000,22.000,IB,1.000,22/1,FYM,winter wheat,*,0.000
1964.000,3.000,II,2.000,03/2,nil,winter wheat,*,0.000
1964.000,5.000,II,2.000,05/2,PKNaMg,winter wheat,*,0.000
1964.000,6.000,II,2.000,06/2,N1PKNaMg,winter wheat,23/09/-01/10/1963,0.340
1964.000,7.000,II,2.000,07/2,N2PKNaMg,winter wheat,23/09/-01/10/1963,0.690
1964.000,8.000,II,2.000,08/2,N3PKNaMg,winter wheat,23/09/-01/10/1963,1.030
1964.000,9.000,II,2.000,09/2,N1*PKNaMg,winter wheat,*,0.000
1964.000,10.000,II,2.000,10/2,N2,winter wheat,23/09/-01/10/1963,0.690
1964.000,11.000,II,2.000,11/2,N2P,winter wheat,23/09/-01/10/1963,0.690
1964.000,12.000,II,2.000,12/2,N2PNa*,winter wheat,23/09/-01/10/1963,0.690
